Group,First Date,Last Date,Txs,No. Contracts,No. Chains,Contracts List,Chains List,Overall,Count,First Date Spread Variance,Last Date Spread Variance,First Date Clustering Score,Last Date Clustering Score
JR,0.782380412,4.533797646,0,0,0.052711994,0,0.057804552,0.03353977,42,0.035643982,0.056707408,0.031676549,0.065703226
KL,0.820173631,1.861669556,0.180180087,0,0.063878199,0,0.076448021,0.096278707,341,0.10398787,0.103541052,0.059939315,0.111687571
EL,0.848023035,1.150487077,0.220656353,0,0.215708035,0,0.185467567,0.18211428,555,0.134897191,0.103841619,0.124021771,0.10618339
LP,0.85153121,3.729690505,0.270337702,0,0.078203985,0,0.073396261,0.124589216,1016,0.182894114,0.252969019,0.166373197,0.294049052
AJ,0.86654519,4.687610787,0.1174736,0,0.087684729,0,0.087428643,0.08697956,140,0.068487642,0.105274667,0.05687247,0.122708536
GA,0.868036976,9.572514877,0.231042235,0,0.081552536,0,0.081425013,0.116868962,187,0.079221399,0.173867302,0.07055143,0.182853722
G,0.901697961,3.930316482,0.19469229,0,0.103194025,0,0.119679787,0.125611481,217,0.086978718,0.12001284,0.07256699,0.116791966
BK,0.977,0.482,0.036802974,0,0.04,0,0.042287379,0.035674195,20,0.027486211,0.012759175,0.018643073,0.007549419
AO,1.045281844,0.993899105,0.360752056,0,0.085745914,0,0.126363534,0.17364068,678,0.16553283,0.106676825,0.154425754,0.114807459
GF,1.098144318,4.297556131,0.241990251,0,0.081107196,0,0.078131818,0.118691886,76,0.056805331,0.074267988,0.038306272,0.083739814
GL,1.111645325,13.43133322,0.257238883,0,0.073323508,0,0.078232283,0.121673456,184,0.088929249,0.204292564,0.069754969,0.238822838
HE,1.122150985,3.153771273,0.242703533,0,0.024477664,0,0.044626714,0.094152796,31,0.036674068,0.040633107,0.027590627,0.029183694
DA,1.137012283,0.893550323,0.131520067,0,0.085420841,0,0.073137668,0.085019217,229,0.100335105,0.058784298,0.092996335,0.066432069
BW,1.237016734,0.197267402,0.155920381,0,0.062229133,0,0.076801083,0.088925426,151,0.084982372,0.0224285,0.05080855,0.017876455
DY,1.241668612,0.524239676,0.190342857,0,0.087832771,0,0.077088503,0.104411214,112,0.07332709,0.03148894,0.059254541,0.026276839
GE,1.278642623,71.41623284,0.210549451,0,0.100274725,0,0.095979985,0.120604307,91,0.067073022,0.331286128,0.060275618,0.42119166
HC,1.286673119,2.219103483,0.197920913,0,0.075949125,0,0.078094513,0.104624889,132,0.081035193,0.070333111,0.071834044,0.078463242
